chapter,italian,chinese,pronunciation,example_it,example_zh,note,image,source_name,source_url,license_note,copyright_status,word_id
交通标志与图形 - 临时与施工标志,delineatore modulare di curva a destra,右弯模块式轮廓标。,,Figura n. 295: delineatore modulare di curva a destra.,图形 295 表示用于提示右侧弯道走向的模块式轮廓标。,图形编号 s295；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s295.gif,rmastri.it,https://www.rmastri.it/42/immagini/s295.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000287
交通标志与图形 - 临时与施工标志,preavviso di semaforo temporaneo,临时交通信号灯预告标志。,,Figura n. 297: preavviso di semaforo temporaneo.,图形 297 表示前方设有临时交通信号灯。,图形编号 s297；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s297.gif,rmastri.it,https://www.rmastri.it/42/immagini/s297.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000288
交通标志与图形 - 临时与施工标志,delineatore speciale di ostacolo,特殊障碍物轮廓标。,,Figura n. 299: delineatore speciale di ostacolo.,图形 299 表示道路上或道路旁存在障碍物，需要注意避让。,图形编号 s299；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s299.gif,rmastri.it,https://www.rmastri.it/42/immagini/s299.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000289
交通标志与图形 - 临时与施工标志,segnali di limiti di velocità da applicare su alcuni veicoli,适用于某些车辆的限速标志。,,Figura n. 301: segnali di limiti di velocità da applicare su alcuni veicoli.,图形 301 表示某些车辆必须遵守标明的速度限制。,图形编号 s301；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s301.gif,rmastri.it,https://www.rmastri.it/42/immagini/s301.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000290
交通标志与图形 - 临时与施工标志,pannello per carichi sporgenti,突出载荷警示板。,,Figura n. 302: pannello per carichi sporgenti.,该面板用于提醒车辆装载物向外突出。,图形编号 s340；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s302.gif,rmastri.it,https://www.rmastri.it/42/immagini/s302.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000291
交通标志与图形 - 临时与施工标志,pannello per trasporto merci pericolose,危险货物运输标志板。,,Figura n. 303: pannello per trasporto merci pericolose.,该面板用于标识运输危险货物的车辆。,图形编号 s341；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s303.gif,rmastri.it,https://www.rmastri.it/42/immagini/s303.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000292
交通标志与图形 - 临时与施工标志,"pannelli posteriori per autoveicoli adibiti al trasporto merci di massa a pieno carico oltre 3,5 t.",货运机动车后部识别板：用于满载质量超过3.5吨的车辆。,,"Figura n. 304: pannelli posteriori per autoveicoli adibiti al trasporto merci di massa a pieno carico oltre 3,5 t..",该识别板安装在超过3.5吨的货运机动车后部。,图形编号 s344；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s304.gif,rmastri.it,https://www.rmastri.it/42/immagini/s304.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000293
交通标志与图形 - 临时与施工标志,"pannelli posteriori per rimorchi e semirimorchi adibiti al trasporto merci di massa a pieno carico oltre 3,5 t.",货运挂车和半挂车后部标志牌，适用于满载总质量超过3.5吨的车辆。,,"Figura n. 305: pannelli posteriori per rimorchi e semirimorchi adibiti al trasporto merci di massa a pieno carico oltre 3,5 t..",图形 305 表示货运挂车或半挂车后部需要设置的识别标志牌。,图形编号 s305；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s305.gif,rmastri.it,https://www.rmastri.it/42/immagini/s305.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000294
交通标志与图形 - 指示标志,via di fuga,避险车道 / 逃生通道,,Figura n. 334: via di fuga.,图形 334 表示：避险车道 / 逃生通道。,图形编号 s334；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s334.gif,rmastri.it,https://www.rmastri.it/42/immagini/s334.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000295
交通标志与图形 - 指示标志,estintore,灭火器,,Figura n. 335: estintore.,图形 335 表示：灭火器。,图形编号 s335；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s335.gif,rmastri.it,https://www.rmastri.it/42/immagini/s335.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000296
交通标志与图形 - 交警手势,vigile in posizione di alt (rosso),交警停止手势，对应红灯。,,Figura n. 383: vigile in posizione di alt (rosso).,图形 383 表示交警要求车辆停止。,图形编号 s383；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s383.gif,rmastri.it,https://www.rmastri.it/42/immagini/s383.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000297
交通标志与图形 - 交警手势,vigile in posizione di avanti (verde),交警放行手势，对应绿灯。,,Figura n. 384: vigile in posizione di avanti (verde).,图形 384 表示交警允许车辆前进。,图形编号 s384；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s384.gif,rmastri.it,https://www.rmastri.it/42/immagini/s384.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000298
交通标志与图形 - 交警手势,vigile in posizione di attenzione (giallo fisso),交警注意姿势，对应固定黄灯信号。,,Figura n. 385: vigile in posizione di attenzione (giallo fisso).,图形 385 表示交警处于注意姿势，驾驶人应提高警惕。,图形编号 s385；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s385.gif,rmastri.it,https://www.rmastri.it/42/immagini/s385.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000299
交通标志与图形 - 交警手势,"vigile con le braccia distese orizzontalmente a 90 gradi (via libera, in tutte le direzioni,  solo per i veicoli che provengono dalla mano sinistra del vigile)",交警双臂水平伸开：仅允许从交警左手方向驶来的车辆通行。,,"Figura n. 386: vigile con le braccia distese orizzontalmente a 90 gradi (via libera, in tutte le direzioni,  solo per i veicoli che provengono dalla mano sinistra del vigile).",看到该手势时，只有特定方向来车可以通行，其他方向车辆应按交警指挥停车或等待。,图形编号 s386；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s386.gif,rmastri.it,https://www.rmastri.it/42/immagini/s386.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000300
交通标志与图形 - 路面标线,strisce di delimitazione gialle che individuano un’area di parcheggio destinata a persone invalide,黄色停车区标线：残疾人专用停车区域。,,Figura n. 445: strisce di delimitazione gialle che individuano un’area di parcheggio destinata a persone invalide.,黄色边线标示为残疾人预留的停车区域。,图形编号 s504；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s445.gif,rmastri.it,https://www.rmastri.it/42/immagini/s445.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000301
交通标志与图形 - 路面标线,striscia bianca continua lungo l’asse,道路中心白色实线。,,Figura n. 501: striscia bianca continua lungo l’asse.,白色实线沿道路中心线设置，通常表示不得压线或越线。,图形编号 s501；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s501.gif,rmastri.it,https://www.rmastri.it/42/immagini/s501.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000302
交通标志与图形 - 路面标线,striscia bianca discontinua (tratteggiata) lungo l’asse,道路中心白色虚线。,,Figura n. 502: striscia bianca discontinua (tratteggiata) lungo l’asse.,白色虚线沿道路中心线设置，在允许条件下可越线。,图形编号 s502；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s502.gif,rmastri.it,https://www.rmastri.it/42/immagini/s502.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000303
交通标志与图形 - 路面标线,striscia bianca laterale discontinua che separa la carreggiata da un passo carrabile,分隔车行道与车辆出入口的白色侧向虚线。,,Figura n. 505: striscia bianca laterale discontinua che separa la carreggiata da un passo carrabile.,该标线用于区分车行道和车辆出入口区域。,图形编号 s505；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s505.gif,rmastri.it,https://www.rmastri.it/42/immagini/s505.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000304
交通标志与图形 - 路面标线,strisce bianche discontinue di guida,白色虚线导向线。,,Figura n. 506: strisce bianche discontinue di guida.,该标线用于引导车辆按指定方向行驶。,图形编号 s506；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s506.gif,rmastri.it,https://www.rmastri.it/42/immagini/s506.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000305
交通标志与图形 - 路面标线,doppia striscia bianca continua lungo l’asse,道路中心双白实线。,,Figura n. 509: doppia striscia bianca continua lungo l’asse.,双白实线沿道路中心设置，通常表示车辆不得越线。,图形编号 s509；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s509.gif,rmastri.it,https://www.rmastri.it/42/immagini/s509.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000306
交通标志与图形 - 路面标线,piste ciclabili,自行车道标线。,,Figura n. 511: piste ciclabili.,图形 511 表示自行车专用或相关通行区域的路面标线。,图形编号 s511；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s511.gif,rmastri.it,https://www.rmastri.it/42/immagini/s511.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000307
交通标志与图形 - 路面标线,striscia bianca laterale discontinua che individua il bordo della strada principale,标示主路边缘的白色虚线。,,Figura n. 512: striscia bianca laterale discontinua che individua il bordo della strada principale.,该图形表示：标示主路边缘的白色虚线。,图形编号 s512；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s512.gif,rmastri.it,https://www.rmastri.it/42/immagini/s512.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000308
交通标志与图形 - 路面标线,striscia bianca laterale discontinua che separa la carreggiata da una piazzola di sosta,分隔车行道与停车区的白色侧向虚线。,,Figura n. 513: striscia bianca laterale discontinua che separa la carreggiata da una piazzola di sosta.,该图形表示：分隔车行道与停车区的白色侧向虚线。,图形编号 s513；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s513.gif,rmastri.it,https://www.rmastri.it/42/immagini/s513.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000309
交通标志与图形 - 路面标线,strisca bianca trasversale continua,白色横向实线。,,Figura n. 515: strisca bianca trasversale continua.,该横向实线通常用于要求车辆停车或遵守优先规则的位置。,图形编号 s515；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s515.gif,rmastri.it,https://www.rmastri.it/42/immagini/s515.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000310
交通标志与图形 - 路面标线,attraversamento pedonale diretto posto su strada urbana ed extraurbana,城市和郊外道路上的直向人行横道。,,Figura n. 517: attraversamento pedonale diretto posto su strada urbana ed extraurbana.,图形 517 表示设置在城市或郊外道路上的直向人行横道。,图形编号 s517；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s517.gif,rmastri.it,https://www.rmastri.it/42/immagini/s517.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000311
交通标志与图形 - 路面标线,attraversamento pedonale obliquo posto su strada urbana ed extraurbana,城市和郊外道路上的斜向人行横道。,,Figura n. 518: attraversamento pedonale obliquo posto su strada urbana ed extraurbana.,图形 518 表示设置在城市或郊外道路上的斜向人行横道。,图形编号 s518；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s518.gif,rmastri.it,https://www.rmastri.it/42/immagini/s518.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000312
交通标志与图形 - 路面标线,scritta “stop” sulla pavimentazione (obbligo di fermarsi e dare la precedenza),路面停车让行字样：必须停车并让行。,,Figura n. 519: scritta “stop” sulla pavimentazione (obbligo di fermarsi e dare la precedenza).,看到路面停车让行字样时，车辆必须停车并让有优先权的车辆先行。,图形编号 s519；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s519.gif,rmastri.it,https://www.rmastri.it/42/immagini/s519.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000313
交通标志与图形 - 路面标线,attraversamento ciclabile diretto posto su strada urbana ed extraurbana,城市和郊外道路上的直向自行车横道。,,Figura n. 520: attraversamento ciclabile diretto posto su strada urbana ed extraurbana.,图形 520 表示设置在城市或郊外道路上的直向自行车横道。,图形编号 s520；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s520.gif,rmastri.it,https://www.rmastri.it/42/immagini/s520.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000314
交通标志与图形 - 路面标线,attraversamento ciclabile obliquo posto su strada urbana ed extraurbana,城市和郊外道路上的斜向自行车横道。,,Figura n. 521: attraversamento ciclabile obliquo posto su strada urbana ed extraurbana.,图形 521 表示设置在城市或郊外道路上的斜向自行车横道。,图形编号 s521；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s521.gif,rmastri.it,https://www.rmastri.it/42/immagini/s521.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000315
交通标志与图形 - 路面标线,velocita’ consigliata,建议速度。,,Figura n. 528: velocita’ consigliata.,图形 528 表示建议车辆按该速度行驶。,图形编号 s528；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s528.gif,rmastri.it,https://www.rmastri.it/42/immagini/s528.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000316
交通标志与图形 - 路面标线,simbolo di passaggio a livello sulla pavimentazione (p e l),路面上的铁路平交道口符号。,,Figura n. 531: simbolo di passaggio a livello sulla pavimentazione (p e l).,图形 531 表示路面标有铁路平交道口提示符号。,图形编号 s531；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s531.gif,rmastri.it,https://www.rmastri.it/42/immagini/s531.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000317
交通标志与图形 - 路面标线,rallentatore ottico di velocita’,视觉减速标线。,,Figura n. 534: rallentatore ottico di velocita’.,图形 534 表示通过视觉效果提醒驾驶人减速的路面标线。,图形编号 s534；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s534.gif,rmastri.it,https://www.rmastri.it/42/immagini/s534.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000318
交通标志与图形 - 路面标线,dosso artificiale rallentatore di velocita’,人工减速丘。,,Figura n. 535: dosso artificiale rallentatore di velocita’.,该设施用于让车辆降低速度。,图形编号 s535；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s535.gif,rmastri.it,https://www.rmastri.it/42/immagini/s535.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000319
交通标志与图形 - 路面标线,segnaletica orizzontale in corrispondenza di un dosso,凸起路段附近的路面标线。,,Figura n. 536: segnaletica orizzontale in corrispondenza di un dosso.,图形 536 表示在道路隆起或减速丘附近设置的路面标线。,图形编号 s536；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s536.gif,rmastri.it,https://www.rmastri.it/42/immagini/s536.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000320
交通标志与图形 - 路面标线,striscia bianca laterale discontinua che separa la carreggiata da una corsia di accelerazione,分隔车行道与加速车道的白色侧向虚线。,,Figura n. 537: striscia bianca laterale discontinua che separa la carreggiata da una corsia di accelerazione.,该标线用于区分主车行道和加速车道。,图形编号 s537；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s537.gif,rmastri.it,https://www.rmastri.it/42/immagini/s537.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000321
交通标志与图形 - 路面标线,frecce di rientro su strada a doppio senso,双向道路上的回归车道箭头。,,Figura n. 542: frecce di rientro su strada a doppio senso.,该箭头提示车辆返回正确车道，通常用于超车或车道变化结束处。,图形编号 s539；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s542.gif,rmastri.it,https://www.rmastri.it/42/immagini/s542.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000322
交通标志与图形 - 路面标线,strisce di guida per la svolta a sinistra,左转导向线。,,Figura n. 543: strisce di guida per la svolta a sinistra.,图形 543 表示车辆左转时可参考的导向标线。,图形编号 s543；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s543.gif,rmastri.it,https://www.rmastri.it/42/immagini/s543.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000323
交通标志与图形 - 路面标线,striscia gialla a zig zag,黄色锯齿形标线。,,Figura n. 545: striscia gialla a zig zag.,图形 545 表示黄色锯齿形道路标线。,图形编号 s545；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s545.gif,rmastri.it,https://www.rmastri.it/42/immagini/s545.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000324
交通标志与图形 - 路面标线,striscia di delimitazione per la fermata di autobus e filobus,公交车和无轨电车停靠区域边界线。,,Figura n. 546: striscia di delimitazione per la fermata di autobus e filobus.,图形 546 表示公交车或无轨电车停靠区域的边界。,图形编号 s546；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s546.gif,rmastri.it,https://www.rmastri.it/42/immagini/s546.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000325
交通标志与图形 - 路面标线,corsie di canalizzazione con frecce direzionali su strada a doppio senso,双向道路上的导向车道和方向箭头。,,Figura n. 547: corsie di canalizzazione con frecce direzionali su strada a doppio senso.,图形 547 表示双向道路中的车道分流和转向指示。,图形编号 s547；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s547.gif,rmastri.it,https://www.rmastri.it/42/immagini/s547.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000326
交通标志与图形 - 路面标线,strada a doppio senso con quattro corsie,四车道双向道路。,,Figura n. 550: strada a doppio senso con quattro corsie.,图形 550 表示共有四条车道的双向通行道路。,图形编号 s550；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s550.gif,rmastri.it,https://www.rmastri.it/42/immagini/s550.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000327
交通标志与图形 - 路面标线,strada a doppio senso con sei corsie,六车道双向道路。,,Figura n. 552: strada a doppio senso con sei corsie.,图形 552 表示共有六条车道的双向通行道路。,图形编号 s552；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s552.gif,rmastri.it,https://www.rmastri.it/42/immagini/s552.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000328
交通标志与图形 - 路面标线,striscia bianca laterale continua che separa la carraeggiata dalla corsia di emergenza,分隔车行道与应急车道的白色侧向实线。,,Figura n. 553: striscia bianca laterale continua che separa la carraeggiata dalla corsia di emergenza.,该标线用于区分正常车行道和应急车道。,图形编号 s545；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s553.gif,rmastri.it,https://www.rmastri.it/42/immagini/s553.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000329
交通标志与图形 - 路面标线,strada a tre corsie,三车道道路。,,Figura n. 554: strada a tre corsie.,图形 554 表示一条道路共有三条车道。,图形编号 s554；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s554.gif,rmastri.it,https://www.rmastri.it/42/immagini/s554.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000330
交通标志与图形 - 路面标线,strada a due carreggiate e quattro corsie,双车行道的四车道公路,,Figura n. 558: strada a due carreggiate e quattro corsie.,该图形表示：双车行道的四车道公路。,图形编号 s558；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s558.gif,rmastri.it,https://www.rmastri.it/42/immagini/s558.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000331
交通标志与图形 - 路面标线,strada a due carreggiate e sei corsie,双车行道的六车道公路,,Figura n. 559: strada a due carreggiate e sei corsie.,该图形表示：双车行道的六车道公路。,图形编号 s559；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s559.gif,rmastri.it,https://www.rmastri.it/42/immagini/s559.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000332
交通标志与图形 - 路面标线,strada a tre carreggiate e otto corsie,三车行道的八车道公路,,Figura n. 562: strada a tre carreggiate e otto corsie.,该图形表示：三车行道的八车道公路。,图形编号 s562；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s562.gif,rmastri.it,https://www.rmastri.it/42/immagini/s562.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000333
交通标志与图形 - 路面标线,striscia trasversale continua,横向实线。,,Figura n. 563: striscia trasversale continua.,该标线横向设置，常用于停车线或让行位置。,图形编号 s554；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s563.gif,rmastri.it,https://www.rmastri.it/42/immagini/s563.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000334
交通标志与图形 - 路面标线,corsie di canalizzazione con frecce direzionali su strada a senso unico,带有方向箭头的单行道,,Figura n. 564: corsie di canalizzazione con frecce direzionali su strada a senso unico.,该图形表示：带有方向箭头的单行道。,图形编号 s564；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s564.gif,rmastri.it,https://www.rmastri.it/42/immagini/s564.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000335
交通标志与图形 - 路面标线,corsie di canalizzazione con frecce direzionali su strada a doppio senso,双向道路上的导向车道和方向箭头。,,Figura n. 565: corsie di canalizzazione con frecce direzionali su strada a doppio senso.,图形 565 表示双向道路中的车道分流和转向指示。,图形编号 s565；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s565.gif,rmastri.it,https://www.rmastri.it/42/immagini/s565.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000336
交通标志与图形 - 路面标线,"striscia longitudinale discontinua e continua posta dopo un pericolo (curva, dosso, incrocio)",危险路段后方的纵向虚实线。,,"Figura n. 566: striscia longitudinale discontinua e continua posta dopo un pericolo (curva, dosso, incrocio).",该标线出现在弯道、坡顶或交叉口等危险点之后。,图形编号 s566；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s566.gif,rmastri.it,https://www.rmastri.it/42/immagini/s566.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000337
交通标志与图形 - 路面标线,"striscia longitudinale continua e discontinua posta prima di un pericolo (curva, dosso, incrocio)",危险路段前方的纵向实虚线。,,"Figura n. 567: striscia longitudinale continua e discontinua posta prima di un pericolo (curva, dosso, incrocio).",该标线出现在弯道、坡顶或交叉口等危险点之前。,图形编号 s567；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s567.gif,rmastri.it,https://www.rmastri.it/42/immagini/s567.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000338
交通标志与图形 - 路面标线,strisca bianca trasversale continua,白色横向实线。,,Figura n. 568: strisca bianca trasversale continua.,该标线横向设置，提示车辆在特定位置停车或注意通行规则。,图形编号 s568；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s568.gif,rmastri.it,https://www.rmastri.it/42/immagini/s568.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000339
交通标志与图形 - 路面标线,corsie di canalizzazione senza frecce direzionali,没有方向箭头的车道,,Figura n. 570: corsie di canalizzazione.,该图形表示：没有方向箭头的车道。,图形编号 s570；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s570.gif,rmastri.it,https://www.rmastri.it/42/immagini/s570.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000340
交通标志与图形 - 路面标线,corsie di canalizzazione,车道 的CANALIZZAZIONE,,Figura n. 572: corsie di canalizzazione.,图形 572 表示：车道 的CANALIZZAZIONE。,图形编号 s572；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s572.gif,rmastri.it,https://www.rmastri.it/42/immagini/s572.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000341
交通标志与图形 - 路面标线,corsie di canalizzazione,导向车道（需人工校对）,,Figura n. 574: corsie di canalizzazione.,该图形表示：导向车道，需人工校对。,图形编号 s574；来源：WEBpatente definiz.js；图片可能与图形 572 重复，需人工校对,https://www.rmastri.it/42/immagini/s574.gif,rmastri.it,https://www.rmastri.it/42/immagini/s574.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000342
交通标志与图形 - 路面标线,isola di traffico (non può essere valicata),交通导流岛：不得压越。,,Figura n. 595: isola di traffico (non può essere valicata).,该区域用于分隔或引导交通，车辆不得压越。,图形编号 s576；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s595.gif,rmastri.it,https://www.rmastri.it/42/immagini/s595.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000343
交通标志与图形 - 路面标线,strisce di guida per la svolta a sinistra (possono essere valicate),左转导向线：可以压越。,,Figura n. 596: strisce di guida per la svolta a sinistra (possono essere valicate).,该标线用于引导左转车辆，允许车辆按需要压越。,图形编号 s579；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s596.gif,rmastri.it,https://www.rmastri.it/42/immagini/s596.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000344
交通标志与图形 - 路口优先顺序,svolta a sinistra scorretta,错误的左转路线。,,Figura n. 599: svolta a sinistra scorretta.,图形 599 表示不正确的左转行驶方式。,图形编号 s599；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s599.gif,rmastri.it,https://www.rmastri.it/42/immagini/s599.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000345
交通标志与图形 - 路口优先顺序,svolta a sinistra corretta,正确的左转路线。,,Figura n. 601: svolta a sinistra corretta.,图形 601 表示正确的左转行驶方式。,图形编号 s601；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s601.gif,rmastri.it,https://www.rmastri.it/42/immagini/s601.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000346
交通标志与图形 - 路口优先顺序,svolta a sinistra con circolazione rotatoria,环岛通行条件下的左转路线。,,Figura n. 602: svolta a sinistra con circolazione rotatoria.,图形 602 表示在环岛交通中完成左转的行驶方向。,图形编号 s602；来源：WEBpatente definiz.js；需人工校对,https://www.rmastri.it/42/immagini/s602.gif,rmastri.it,https://www.rmastri.it/42/immagini/s602.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000347
交通标志与图形 - 路口优先顺序,ordine di precedenza:  r - d - a,通行优先顺序：R - D - A,,Figura n. 604: ordine di precedenza:  r - d - a.,图形 604 表示：通行优先顺序：R - D - A。,图形编号 s604；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s604.gif,rmastri.it,https://www.rmastri.it/42/immagini/s604.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000348
交通标志与图形 - 路口优先顺序,ordine di precedenza:  e - c - m,通行优先顺序：E - C - M,,Figura n. 606: ordine di precedenza:  e - c - m.,图形 606 表示：通行优先顺序：E - C - M。,图形编号 s606；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s606.gif,rmastri.it,https://www.rmastri.it/42/immagini/s606.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000349
交通标志与图形 - 路口优先顺序,ordine di precedenza:  t - p - m,通行优先顺序：T - P - M,,Figura n. 607: ordine di precedenza:  t - p - m.,图形 607 表示：通行优先顺序：T - P - M。,图形编号 s607；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s607.gif,rmastri.it,https://www.rmastri.it/42/immagini/s607.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000350
